epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,2225.34,1.04705,0.3618,0.05749,0.88206,0.94475,0.76829,0.82347,0.87697,0.66872,0.76829,0.82347,0.87713,0.8691,0.86528,0.14543,0.00806,0.76954,0.90464,0.007558,0.007558,0.007558
39,2283.61,1.05207,0.37919,0.06015,0.87967,0.94067,0.78365,0.79387,0.86875,0.65894,0.78365,0.79387,0.86819,0.8591,0.87183,0.14667,0.00968,0.75943,0.89916,0.007492,0.007492,0.007492
40,2341.92,1.03356,0.36248,0.0599,0.87074,0.93961,0.79201,0.80867,0.88419,0.68136,0.79305,0.80973,0.88281,0.876,0.82057,0.15393,0.01111,0.72843,0.89206,0.007426,0.007426,0.007426
41,2400.34,1.02874,0.33901,0.05923,0.87065,0.93928,0.75661,0.81078,0.86495,0.66822,0.75314,0.82241,0.86564,0.85848,0.84519,0.1435,0.00842,0.76537,0.90171,0.00736,0.00736,0.00736
42,2459.18,1.02806,0.34081,0.05493,0.86519,0.9364,0.73838,0.82642,0.85939,0.656,0.73933,0.82748,0.85716,0.84882,0.87241,0.14381,0.00814,0.78448,0.9041,0.007294,0.007294,0.007294
43,2517.66,1.04401,0.35332,0.05755,0.8702,0.94622,0.77703,0.78647,0.86701,0.66475,0.76832,0.79926,0.86966,0.85919,0.8703,0.14892,0.00961,0.75044,0.90679,0.007228,0.007228,0.007228
44,2576.59,1.0262,0.35814,0.05363,0.86332,0.93254,0.7533,0.80694,0.85278,0.65146,0.7673,0.80338,0.85492,0.84374,0.85421,0.15449,0.0118,0.77304,0.90371,0.007162,0.007162,0.007162
45,2634.44,1.03589,0.3569,0.05721,0.87473,0.9348,0.75387,0.82561,0.87569,0.66766,0.75626,0.81818,0.87037,0.86026,0.8631,0.14655,0.01145,0.74609,0.90131,0.007096,0.007096,0.007096
46,2692.45,1.01504,0.32557,0.05485,0.85126,0.93256,0.80592,0.80766,0.88323,0.67887,0.80908,0.81083,0.88465,0.87647,0.83862,0.12777,0.0073,0.7239,0.8957,0.00703,0.00703,0.00703
47,2750.61,1.01199,0.3413,0.05325,0.85288,0.93327,0.74807,0.82981,0.85251,0.66264,0.74521,0.82664,0.85082,0.83714,0.84139,0.15709,0.00829,0.76042,0.89665,0.006964,0.006964,0.006964
