epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2373.82,1.145,0.47635,0.063,0.9486,1.04494,0.71079,0.82874,0.83668,0.58908,0.71169,0.8298,0.83824,0.82063,0.98501,0.17679,0.00808,0.86621,1.00377,0.00736,0.00736,0.00736
42,2431.65,1.1541,0.48355,0.05947,0.9373,1.04592,0.73444,0.80105,0.84525,0.61557,0.73441,0.80021,0.84379,0.8305,0.93888,0.18913,0.00611,0.81459,0.9857,0.007294,0.007294,0.007294
43,2489.34,1.15048,0.46907,0.0628,0.93848,1.04976,0.73305,0.82241,0.84321,0.61547,0.734,0.82347,0.84543,0.83159,0.92377,0.17126,0.0077,0.8248,0.97537,0.007228,0.007228,0.007228
44,2547.09,1.14557,0.46785,0.05876,0.92777,1.03854,0.74644,0.79281,0.8499,0.61139,0.74647,0.78964,0.84404,0.8304,0.92906,0.19415,0.0075,0.8155,0.98032,0.007162,0.007162,0.007162
45,2604.84,1.13984,0.46473,0.06111,0.93692,1.0363,0.79753,0.78224,0.85302,0.6052,0.79064,0.77801,0.84548,0.83042,0.96637,0.18867,0.00691,0.80326,0.98883,0.007096,0.007096,0.007096
46,2662.44,1.13456,0.45597,0.05758,0.91289,1.03749,0.7194,0.82558,0.84354,0.60991,0.72158,0.8277,0.84634,0.83217,0.93623,0.16943,0.00668,0.8028,0.97539,0.00703,0.00703,0.00703
47,2719.88,1.13129,0.46361,0.05747,0.91878,1.04008,0.74574,0.80655,0.84208,0.60057,0.75428,0.80867,0.84205,0.82467,0.9393,0.19069,0.00491,0.82389,0.97843,0.006964,0.006964,0.006964
48,2777.42,1.12761,0.47004,0.05853,0.91572,1.03999,0.75193,0.78858,0.847,0.61822,0.75533,0.77993,0.84065,0.82845,0.92834,0.19761,0.00962,0.79891,0.98169,0.006898,0.006898,0.006898
49,2835.25,1.11366,0.43999,0.05573,0.90755,1.02794,0.75138,0.78013,0.84591,0.60806,0.75036,0.77907,0.83995,0.82151,0.95924,0.20188,0.00838,0.80418,0.98107,0.006832,0.006832,0.006832
50,2893.11,1.12562,0.43523,0.06004,0.91232,1.02928,0.76302,0.79281,0.84999,0.60895,0.76404,0.79387,0.84947,0.83689,0.96156,0.17756,0.00586,0.81369,0.98456,0.006766,0.006766,0.006766
51,2951.3,1.12036,0.45226,0.06056,0.90864,1.03155,0.73027,0.80422,0.85211,0.62949,0.73036,0.80744,0.85201,0.83745,0.93625,0.17092,0.01087,0.81857,0.97364,0.0067,0.0067,0.0067
52,3009.94,1.11874,0.45483,0.05792,0.90988,1.03099,0.73997,0.81821,0.83561,0.57966,0.73997,0.81821,0.83557,0.82008,1.01851,0.19619,0.00588,0.8232,0.99894,0.006634,0.006634,0.006634
53,3067.99,1.12084,0.46127,0.05669,0.90889,1.02772,0.74691,0.82347,0.86256,0.62736,0.74679,0.82241,0.85999,0.84696,0.93385,0.18308,0.00739,0.77876,0.97301,0.006568,0.006568,0.006568
