epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3103.99,1.13066,0.44607,0.07524,0.91811,1.02613,0.72655,0.81607,0.84687,0.61691,0.73125,0.81712,0.84191,0.82963,0.93346,0.19172,0.00983,0.79222,0.98754,0.006502,0.006502,0.006502
55,3160.89,1.12058,0.46375,0.07318,0.90571,1.01673,0.73624,0.77907,0.8316,0.6179,0.73921,0.77907,0.82824,0.81748,0.9349,0.20379,0.00828,0.85258,0.97105,0.006436,0.006436,0.006436
56,3217.8,1.12556,0.45857,0.07532,0.91501,1.02683,0.74676,0.78964,0.84189,0.63093,0.74638,0.78964,0.84242,0.82746,0.90911,0.20379,0.00666,0.82373,0.96641,0.00637,0.00637,0.00637
57,3275.35,1.10359,0.44056,0.07344,0.8936,1.0153,0.70902,0.82425,0.83078,0.61879,0.71084,0.82636,0.83343,0.82175,0.91666,0.19155,0.00778,0.79485,0.96902,0.006304,0.006304,0.006304
58,3333.32,1.10459,0.45761,0.07281,0.90368,1.01662,0.78052,0.77273,0.86222,0.63766,0.78159,0.77378,0.86313,0.85103,0.92826,0.18024,0.00713,0.76799,0.97308,0.006238,0.006238,0.006238
59,3391.18,1.12145,0.453,0.0736,0.90767,1.02955,0.74377,0.80973,0.84846,0.61943,0.74646,0.80919,0.85133,0.83417,0.94256,0.18288,0.00754,0.77964,0.97663,0.006172,0.006172,0.006172
60,3448.67,1.10584,0.43778,0.0734,0.88989,1.01622,0.72703,0.83617,0.85752,0.62252,0.72886,0.83828,0.85759,0.84533,0.94232,0.17555,0.00818,0.76704,0.96828,0.006106,0.006106,0.006106
61,3506.01,1.11776,0.44526,0.07124,0.90304,1.01606,0.72782,0.80559,0.8462,0.62104,0.73119,0.79936,0.84821,0.83294,0.92255,0.18719,0.00945,0.76146,0.97597,0.00604,0.00604,0.00604
62,3563.42,1.09169,0.41158,0.07282,0.88208,1.01028,0.70974,0.83404,0.83773,0.63249,0.70794,0.83192,0.8355,0.82478,0.89405,0.19748,0.00696,0.76846,0.95904,0.005974,0.005974,0.005974
63,3621.11,1.09031,0.40637,0.07061,0.88001,1.01096,0.75426,0.80464,0.8573,0.6335,0.75525,0.8057,0.85746,0.84643,0.90837,0.18608,0.00744,0.76786,0.96362,0.005908,0.005908,0.005908
64,3678.85,1.09145,0.42961,0.07124,0.88538,1.01096,0.70943,0.83192,0.83218,0.60113,0.7106,0.82798,0.83205,0.81606,0.93175,0.20127,0.00706,0.7931,0.97157,0.005842,0.005842,0.005842
65,3736.36,1.08561,0.42558,0.06841,0.87638,1.01412,0.75739,0.7981,0.85547,0.63958,0.76018,0.80021,0.85868,0.84361,0.91238,0.18556,0.00752,0.75511,0.96937,0.005776,0.005776,0.005776
66,3793.63,1.08289,0.42555,0.06858,0.88734,1.00713,0.75316,0.80761,0.86209,0.63616,0.75186,0.80714,0.85711,0.84536,0.9248,0.19877,0.00707,0.76563,0.97356,0.00571,0.00571,0.00571
67,3850.86,1.0929,0.41758,0.06946,0.87695,1.00678,0.74806,0.80127,0.84893,0.64294,0.75566,0.79769,0.84821,0.83661,0.89407,0.18165,0.00779,0.76364,0.95788,0.005644,0.005644,0.005644
68,3908.2,1.06877,0.38719,0.07121,0.86678,1.00322,0.70639,0.86364,0.84173,0.63477,0.70598,0.86152,0.84131,0.83029,0.90202,0.21451,0.00839,0.74525,0.95694,0.005578,0.005578,0.005578
69,3966.47,1.07154,0.41548,0.06629,0.86504,1.0044,0.78558,0.77696,0.85323,0.64385,0.78558,0.77696,0.85213,0.84034,0.88575,0.16905,0.00726,0.75191,0.95566,0.005512,0.005512,0.005512
70,4024.13,1.06523,0.40205,0.06942,0.86354,1.00097,0.74974,0.80444,0.85437,0.64141,0.75296,0.80546,0.85731,0.84223,0.8854,0.17618,0.00616,0.76326,0.95303,0.005446,0.005446,0.005446
71,4081.76,1.07321,0.41203,0.06725,0.86936,1.00713,0.74431,0.80622,0.85451,0.64588,0.74809,0.8099,0.85749,0.84579,0.86675,0.1573,0.00481,0.81007,0.94388,0.00538,0.00538,0.00538
72,4139.68,1.07672,0.40165,0.06909,0.85797,1.00502,0.72321,0.81479,0.82897,0.60687,0.72227,0.81373,0.82722,0.81537,0.94091,0.18472,0.00715,0.78781,0.97603,0.005314,0.005314,0.005314
73,4197.3,1.05892,0.39228,0.06699,0.84511,0.99855,0.74711,0.82758,0.86857,0.6643,0.74852,0.82347,0.8639,0.85647,0.88307,0.18011,0.00763,0.73496,0.95204,0.005248,0.005248,0.005248
74,4254.5,1.06802,0.37371,0.06458,0.85424,0.99188,0.74234,0.8203,0.85312,0.64272,0.74719,0.82166,0.85692,0.84248,0.87342,0.16505,0.00686,0.75583,0.94954,0.005182,0.005182,0.005182
75,4312.23,1.06786,0.40533,0.07047,0.86282,0.99892,0.74441,0.8097,0.85566,0.64774,0.74642,0.80901,0.85329,0.84224,0.88597,0.19056,0.00664,0.73965,0.94921,0.005116,0.005116,0.005116
76,4369.85,1.05741,0.3801,0.06802,0.84585,1.00168,0.76647,0.79796,0.85538,0.64107,0.7685,0.80007,0.85653,0.84567,0.88457,0.17088,0.00617,0.7604,0.94539,0.00505,0.00505,0.00505
77,4427.04,1.05802,0.37746,0.06702,0.85032,1.00211,0.75679,0.80444,0.85431,0.64613,0.75878,0.80655,0.85885,0.84718,0.88608,0.15156,0.0046,0.75268,0.95116,0.004984,0.004984,0.004984
78,4484.6,1.0571,0.38134,0.06548,0.84148,1.00127,0.78056,0.7907,0.86387,0.64756,0.78264,0.79281,0.86512,0.85297,0.89028,0.16321,0.00628,0.74975,0.95852,0.004918,0.004918,0.004918
79,4542.51,1.04246,0.37937,0.06695,0.84127,0.99432,0.74403,0.80809,0.85272,0.64508,0.74486,0.80761,0.85354,0.84492,0.86751,0.16051,0.00572,0.75057,0.94847,0.004852,0.004852,0.004852
80,4600.2,1.05889,0.3712,0.06511,0.83767,0.99765,0.77681,0.78753,0.85901,0.64863,0.77785,0.78858,0.85696,0.84726,0.87484,0.18379,0.00574,0.7553,0.94654,0.004786,0.004786,0.004786
81,4657.64,1.03405,0.38456,0.06267,0.8323,0.98979,0.71757,0.82347,0.84994,0.6419,0.72201,0.81818,0.84877,0.8376,0.86713,0.16926,0.00555,0.75596,0.94905,0.00472,0.00472,0.00472
82,4715.63,1.04039,0.38678,0.06366,0.83645,0.99422,0.75518,0.81924,0.85576,0.65374,0.75668,0.81924,0.85531,0.845,0.84557,0.15841,0.00424,0.72571,0.9469,0.004654,0.004654,0.004654
83,4772.8,1.04395,0.37814,0.06516,0.83525,0.99369,0.76108,0.81395,0.85422,0.63402,0.76284,0.81501,0.85623,0.84327,0.89651,0.16903,0.00477,0.74933,0.95436,0.004588,0.004588,0.004588
84,4830.43,1.03394,0.35443,0.06214,0.83114,0.98468,0.72119,0.85036,0.85993,0.6505,0.72029,0.84931,0.85698,0.84664,0.85069,0.16034,0.00535,0.73277,0.94089,0.004522,0.004522,0.004522
85,4887.77,1.04008,0.37969,0.06373,0.82627,0.99228,0.74456,0.82241,0.86518,0.65846,0.74992,0.82347,0.86853,0.85568,0.88495,0.14734,0.00648,0.73753,0.94727,0.004456,0.004456,0.004456
